"","date","int_inf","pronostico","int_sup","value"
"141",2022-04-20,20.8337515277689,23.5577674125519,26.6379487498535,NA
"142",2022-04-21,20.8363839961735,23.5695360846161,26.661201451559,NA
"143",2022-04-22,20.8390374429819,23.5812951409912,26.6844129460407,NA
"144",2022-04-23,20.8417114816235,23.5930445927999,26.7075836669477,NA
"145",2022-04-24,20.8444057322825,23.6047844511734,26.7307140411024,NA
"146",2022-04-25,20.8471198217396,23.6165147272515,26.7538044886597,NA
"147",2022-04-26,20.8498533832176,23.6282354321816,26.7768554232607,NA
"148",2022-04-27,20.8526060562323,23.6399465771196,26.7998672521818,NA
"149",2022-04-28,20.8553774864478,23.6516481732293,26.8228403764797,NA
"150",2022-04-29,20.858167325536,23.6633402316822,26.8457751911318,NA
"151",2022-04-30,20.8609752310402,23.6750227636579,26.8686720851722,NA
"152",2022-05-01,20.8638008662431,23.6866957803435,26.8915314418245,NA
"153",2022-05-02,20.8666439000379,23.6983592929334,26.9143536386292,NA
"154",2022-05-03,20.8695040068042,23.71001331263,26.9371390475695,NA
"155",2022-05-04,20.8723808662866,23.7216578506428,26.9598880351917,NA
"156",2022-05-05,20.8752741634772,23.7332929181887,26.982600962723,NA
"157",2022-05-06,20.8781835885013,23.7449185264918,27.0052781861855,NA
"158",2022-05-07,20.8811088365065,23.7565346867831,27.0279200565074,NA
"159",2022-05-08,20.8840496075545,23.7681414103008,27.0505269196307,NA
"160",2022-05-09,20.8870056065167,23.77973870829,27.0730991166163,NA
"161",2022-05-10,20.8899765429719,23.7913265920026,27.0956369837457,NA
"162",2022-05-11,20.8929621311074,23.8029050726972,27.1181408526205,NA
"163",2022-05-12,20.8959620896222,23.8144741616391,27.1406110502582,NA
"164",2022-05-13,20.8989761416338,23.8260338701001,27.1630478991866,NA
"165",2022-05-14,20.902004014586,23.8375842093581,27.1854517175345,NA
"166",2022-05-15,20.9050454401614,23.849125190698,27.2078228191211,NA
"167",2022-05-16,20.9081001541938,23.8606568254105,27.2301615135419,NA
"168",2022-05-17,20.9111678965848,23.8721791247925,27.2524681062531,NA
"169",2022-05-18,20.9142484112215,23.8836921001472,27.2747428986533,NA
"170",2022-05-19,20.9173414458971,23.8951957627836,27.2969861881633,NA
"171",2022-05-20,20.9204467522329,23.9066901240165,27.3191982683041,NA
"172",2022-05-21,20.9235640856029,23.9181751951668,27.341379428772,NA
"173",2022-05-22,20.9266932050599,23.9296509875609,27.3635299555123,NA
"174",2022-05-23,20.9298338732638,23.9411175125306,27.3856501307919,NA
"175",2022-05-24,20.932985856412,23.9525747814138,27.4077402332684,NA
"176",2022-05-25,20.9361489241704,23.9640228055535,27.4298005380587,NA
"177",2022-05-26,20.9393228496074,23.9754615962978,27.4518313168054,NA
"178",2022-05-27,20.9425074091293,23.9868911650005,27.4738328377414,NA
"179",2022-05-28,20.9457023824165,23.9983115230203,27.4958053657537,NA
"180",2022-05-29,20.9489075523627,24.0097226817213,27.5177491624447,NA
"181",2022-05-30,20.9521227050139,24.0211246524722,27.5396644861919,NA
"182",2022-05-31,20.9553476295102,24.0325174466468,27.5615515922074,NA
